text,intent,intent_name,n_tokens,language,clean_text,n_orig,n_clean,reduccion
can you tell me the nutritional information for chicken nuggets,5,nutrition_info,10.0,en,tell nutritional information chicken nugget,10,5,50.0
i would like you to share with me the nutrition info for chicken nuggets,5,nutrition_info,14.0,en,like share nutrition info chicken nugget,14,6,57.14285714285714
i want to know how nutritious an avocado typically is,5,nutrition_info,10.0,en,want know how nutritious avocado typically,10,6,40.0
can you give me nutritional info on oranges,5,nutrition_info,8.0,en,nutritional info orange,8,3,62.5
can you tell me how many calories are in an apple,5,nutrition_info,11.0,en,tell how calorie apple,11,4,63.63636363636363
i would like to know how much fat is in tbsp of olive oil,5,nutrition_info,14.0,en,like know how fat tbsp olive oil,14,7,50.0
can you give the nutritional information for the pasta,5,nutrition_info,9.0,en,nutritional information pasta,9,3,66.66666666666666
let me see the nutrition content of the chicken tacos,5,nutrition_info,10.0,en,let nutrition content chicken taco,10,5,50.0
i need to see the chicken salad's nutritional info,5,nutrition_info,9.0,en,need chicken salad nutritional info,9,5,44.44444444444444
i need to know all about the nutrition of the beef taco,5,nutrition_info,12.0,en,need know nutrition beef taco,12,5,58.333333333333336
i want to see the nutritional content of the hamburger,5,nutrition_info,10.0,en,want nutritional content hamburger,10,4,60.0
what sort of nutrients does a steak have,5,nutrition_info,8.0,en,sort nutrient steak,8,3,62.5
what's the facts about nutrients in rice milk,5,nutrition_info,8.0,en,fact nutrient rice milk,8,4,50.0
what type of nutrition does spaghetti have,5,nutrition_info,7.0,en,type nutrition spaghetti,7,3,57.14285714285714
how many kinds of nutrients does a glass of rice milk have,5,nutrition_info,12.0,en,how kind nutrient glass rice milk,12,6,50.0
can you give me information about the nutrition facts for celery,5,nutrition_info,11.0,en,information nutrition fact celery,11,4,63.63636363636363
what's the nutrient make up of a plate of spaghetti,5,nutrition_info,10.0,en,nutrient make plate spaghetti,10,4,60.0
what's the nutrient info for a donut,5,nutrition_info,7.0,en,nutrient info donut,7,3,57.14285714285714
what's the nutritional info for a ganola bar,5,nutrition_info,8.0,en,nutritional info ganola bar,8,4,50.0
can you tell me about the nutrients in jello,5,nutrition_info,9.0,en,tell nutrient jello,9,3,66.66666666666666
how many nutrients are there in a bowl of cereal,5,nutrition_info,10.0,en,how nutrient bowl cereal,10,4,60.0
i need to know how healthy meatloaf is,5,nutrition_info,8.0,en,need know how healthy meatloaf,8,5,37.5
what are the nutrition facts of grilled chicken,5,nutrition_info,8.0,en,nutrition fact grill chicken,8,4,50.0
what are the nutrition facts for macaroni and cheese,5,nutrition_info,9.0,en,nutrition fact macaroni cheese,9,4,55.55555555555556
please fill me in on the nutrition facts for shrimp scampi,5,nutrition_info,11.0,en,fill nutrition fact shrimp scampi,11,5,54.54545454545454
is spaghetti healthy,5,nutrition_info,3.0,en,spaghetti healthy,3,2,33.33333333333333
tell me how healthy mac and cheese is,5,nutrition_info,8.0,en,tell how healthy mac cheese,8,5,37.5
please give me the nutrition facts for chicken parmesan,5,nutrition_info,9.0,en,nutrition fact chicken parmesan,9,4,55.55555555555556
how healthy is grilled chicken,5,nutrition_info,5.0,en,how healthy grill chicken,5,4,20.0
i want to know the nutrition facts for pizza,5,nutrition_info,9.0,en,want know nutrition fact pizza,9,5,44.44444444444444
do you have nutrition facts for cheerios,5,nutrition_info,7.0,en,nutrition fact cheerio,7,3,57.14285714285714
where are the nutrition facts for cheerios,5,nutrition_info,7.0,en,nutrition fact cheerio,7,3,57.14285714285714
how nutritious are cheerios,5,nutrition_info,4.0,en,how nutritious cheerio,4,3,25.0
where on the cheerios box are the nutrition facts,5,nutrition_info,9.0,en,cheerio box nutrition fact,9,4,55.55555555555556
does the box have nutrition facts for cheerios on it,5,nutrition_info,10.0,en,box nutrition fact cheerio,10,4,60.0
what are the nutrition facts for a mcdouble at mcdonalds,5,nutrition_info,10.0,en,nutrition fact mcdouble mcdonald,10,4,60.0
how healthy are lunchables,5,nutrition_info,4.0,en,how healthy lunchable,4,3,25.0
what are the nutrition facts for a medium popcorn at the movies,5,nutrition_info,12.0,en,nutrition fact medium popcorn movie,12,5,58.333333333333336
what's the nutritional info for a subway chicken sandwhich,5,nutrition_info,9.0,en,nutritional info subway chicken sandwhich,9,5,44.44444444444444
what are the nutrition facts for a rodeo cheese burger at burger king,5,nutrition_info,13.0,en,nutrition fact rodeo cheese burger burger king,13,7,46.15384615384615
how healthy is pho,5,nutrition_info,4.0,en,how healthy pho,4,3,25.0
what's the nutritional value for a pizza lunchable,5,nutrition_info,8.0,en,nutritional value pizza lunchable,8,4,50.0
how healthy is stax chips,5,nutrition_info,5.0,en,how healthy stax chip,5,4,20.0
what's the nutritional info for a cup of noodle soup,5,nutrition_info,10.0,en,nutritional info cup noodle soup,10,5,50.0
jello should stay in the fridge for how long,8,food_last,9.0,en,jello stay fridge how long,9,5,44.44444444444444
when will my milk be no good,8,food_last,7.0,en,when milk no good,7,4,42.857142857142854
when will my eggs go bad,8,food_last,6.0,en,when egg bad,6,3,50.0
how long will my eggs be good for,8,food_last,8.0,en,how long egg good,8,4,50.0
what date does my apple juice expire,8,food_last,7.0,en,date apple juice expire,7,4,42.857142857142854
how long until my cereal is ruined,8,food_last,7.0,en,how long cereal ruin,7,4,42.857142857142854
what's the max time i can leave a green pepper in the fridge,8,food_last,13.0,en,max time leave green pepper fridge,13,6,53.84615384615385
what's the time frame for hamburger stored in the freezer to go bad,8,food_last,13.0,en,time frame hamburger store freezer bad,13,6,53.84615384615385
how long can i keep deer meat in the freezer before it's unedible,8,food_last,13.0,en,how long deer meat freezer before unedible,13,7,46.15384615384615
has the leftover hamburger from last saturday gone bad,8,food_last,9.0,en,leftover hamburger saturday bad,9,4,55.55555555555556
is there a limit to how long you can store bread in the freezer,8,food_last,14.0,en,limit how long store bread freezer,14,6,57.14285714285714
"i've had eggs in the fridge since monday, are they still safe",8,food_last,12.0,en,egg fridge monday safe,12,4,66.66666666666666
how long can you keep chicken in the freeze before it goes bad,8,food_last,13.0,en,how long chicken freeze before bad,13,6,53.84615384615385
is the tofu i put in the fridge tuesday still edible today,8,food_last,12.0,en,tofu fridge tuesday edible today,12,5,58.333333333333336
how long does cottage cheese keep in the fridge,8,food_last,9.0,en,how long cottage cheese fridge,9,5,44.44444444444444
what's the shelf life of guacamole in the fridge,8,food_last,9.0,en,shelf life guacamole fridge,9,4,55.55555555555556
how long does it take for dough in the freezer to go off,8,food_last,13.0,en,how long dough freezer,13,4,69.23076923076923
will i get sick if i eat the tuna salad from friday,8,food_last,12.0,en,sick eat tuna salad friday,12,5,58.333333333333336
i put some leftover stew in the fridge and want to know how long it'll last,8,food_last,16.0,en,leftover stew fridge want know how long,16,7,56.25
how long can i leave tuna casserole in the fridge,8,food_last,10.0,en,how long leave tuna casserole fridge,10,6,40.0
is it still safe to consume the cake she backed last thursday,8,food_last,12.0,en,safe consume cake thursday,12,4,66.66666666666666
can i safely eat chicken that i've had in my fridge since monday,8,food_last,13.0,en,safely eat chicken fridge monday,13,5,61.53846153846154
can i eat chicken if it's been in the fridge since monday,8,food_last,12.0,en,eat chicken fridge monday,12,4,66.66666666666666
is it safe to eat chicken that has been in the fridge since monday,8,food_last,14.0,en,safe eat chicken fridge monday,14,5,64.28571428571429
will the chicken have gone bad if it's been in the fridge since monday,8,food_last,14.0,en,chicken bad fridge monday,14,4,71.42857142857143
is it okay to eat chicken that i put in the fridge on monday,8,food_last,14.0,en,okay eat chicken fridge monday,14,5,64.28571428571429
how soon until the milk expires,8,food_last,6.0,en,how soon milk expire,6,4,33.33333333333333
the milk will expire when,8,food_last,5.0,en,milk expire when,5,3,40.0
tell me when the milk will expire,8,food_last,7.0,en,tell when milk expire,7,4,42.857142857142854
what is the expiration date of the milk,8,food_last,8.0,en,expiration date milk,8,3,62.5
will it be all right for me to drink milk i've had in the fridge since tuesday,8,food_last,17.0,en,right drink milk fridge tuesday,17,5,70.58823529411765
what is the shelf life for beef in the freezer,8,food_last,10.0,en,shelf life beef freezer,10,4,60.0
can i eat the eggs i've had in the fridge since 2/21,8,food_last,12.0,en,eat egg fridge 2/21,12,4,66.66666666666666
how long can i keep a ham in the freezer,8,food_last,10.0,en,how long ham freezer,10,4,60.0
how long will chicken last in the freezer,8,food_last,8.0,en,how long chicken freezer,8,4,50.0
can i drink milk i've kept in the fridge since wednesday,8,food_last,11.0,en,drink milk fridge wednesday,11,4,63.63636363636363
how long will steaks last in the freezer,8,food_last,8.0,en,how long steak freezer,8,4,50.0
what's the shelf life for eggs in the fridge,8,food_last,9.0,en,shelf life egg fridge,9,4,55.55555555555556
how long can i store eggs in the fridge,8,food_last,9.0,en,how long store egg fridge,9,5,44.44444444444444
will it be okay for me to eat my leftover turkey from monday that's been in my fridge,8,food_last,18.0,en,okay eat leftover turkey monday fridge,18,6,66.66666666666666
how long can i keep fish in the freezer before it gets ruined,8,food_last,13.0,en,how long fish freezer before ruin,13,6,53.84615384615385
how long will my milk be good in the fridge,8,food_last,10.0,en,how long milk good fridge,10,5,50.0
how long will eggs last in the fridge,8,food_last,8.0,en,how long egg fridge,8,4,50.0
i've had eggs in the fridge since monday are they safe eat,8,food_last,12.0,en,egg fridge monday safe eat,12,5,58.333333333333336
"is the meatloaf still good to eat, i've had it in the refrigerator since last monday",8,food_last,16.0,en,meatloaf good eat refrigerator monday,16,5,68.75
apples expire in how long,8,food_last,5.0,en,apple expire how long,5,4,20.0
cut cucumbers can stay in the fridge for how long before spoiling,8,food_last,12.0,en,cut cucumber stay fridge how long before spoil,12,8,33.33333333333333
ribs can stay in the fridge for how long before they turn,8,food_last,12.0,en,rib stay fridge how long before turn,12,7,41.66666666666667
when do ribs expire,8,food_last,4.0,en,when rib expire,4,3,25.0
bananas expire in how long,8,food_last,5.0,en,banana expire how long,5,4,20.0
how long does it take tomatoes to expire,8,food_last,8.0,en,how long tomato expire,8,4,50.0
how long can i keep avocados in the fridge before they go bad,8,food_last,13.0,en,how long avocado fridge before bad,13,6,53.84615384615385
how long can i keep macaroni in the fridge before it spoils,8,food_last,12.0,en,how long macaroni fridge before spoil,12,6,50.0
oranges expire in how long,8,food_last,5.0,en,orange expire how long,5,4,20.0
cut carrots can stay in the fridge for how long before going bad,8,food_last,13.0,en,cut carrot stay fridge how long before bad,13,8,38.46153846153847
i wanna know how long can i keep pizza in the freezer for before it goes bad,8,food_last,17.0,en,want know how long pizza freezer before bad,17,8,52.94117647058824
how long can i keep pizza in the freezer for before it goes bad,8,food_last,14.0,en,how long pizza freezer before bad,14,6,57.14285714285714
"it seems to be that i have had pizza in the fridge since monday, so is it safe to eat",8,food_last,20.0,en,pizza fridge monday safe eat,20,5,75.0
how long can pizza be in the fridge,8,food_last,8.0,en,how long pizza fridge,8,4,50.0
so how long can pizza last in the fridge,8,food_last,9.0,en,how long pizza fridge,9,4,55.55555555555556
"it turns out i have had pizza in the fridge since monday, so is it safe to eat",8,food_last,18.0,en,turn pizza fridge monday safe eat,18,6,66.66666666666666
i got to know how long can i keep pizza in the freezer for before it goes bad,8,food_last,18.0,en,know how long pizza freezer before bad,18,7,61.111111111111114
"so it seems i have had pizza in the fridge since monday, so is it safe to eat",8,food_last,18.0,en,pizza fridge monday safe eat,18,5,72.22222222222221
how long can i leave pizza in the fridge,8,food_last,9.0,en,how long leave pizza fridge,9,5,44.44444444444444
tell me how long can i keep pizza in the freezer for before it goes bad,8,food_last,16.0,en,tell how long pizza freezer before bad,16,7,56.25
how long can i have pizza in the fridge,8,food_last,9.0,en,how long pizza fridge,9,4,55.55555555555556
"i have had pizza in the fridge since monday, so is it safe to eat",8,food_last,15.0,en,pizza fridge monday safe eat,15,5,66.66666666666666
"so i have had pizza in the fridge since monday, so is it safe to eat",8,food_last,16.0,en,pizza fridge monday safe eat,16,5,68.75
i need to know how long can i keep pizza in the freezer for before it goes bad,8,food_last,18.0,en,need know how long pizza freezer before bad,18,8,55.55555555555556
how long can i put pizza in the fridge,8,food_last,9.0,en,how long pizza fridge,9,4,55.55555555555556
what is the length of time i can leave pork in the fridge,8,food_last,13.0,en,length time leave pork fridge,13,5,61.53846153846154
how long until pork spoils in the fridge,8,food_last,8.0,en,how long pork spoil fridge,8,5,37.5
how long is pork good in the fridge,8,food_last,8.0,en,how long pork good fridge,8,5,37.5
is there a time limit on leaving pork in the fridge,8,food_last,11.0,en,time limit leave pork fridge,11,5,54.54545454545454
when does pork go bad in the fridge,8,food_last,8.0,en,when pork bad fridge,8,4,50.0
when does milk expire,8,food_last,4.0,en,when milk expire,4,3,25.0
how long does it take frozen steaks to go bad,8,food_last,10.0,en,how long frozen steak bad,10,5,50.0
how long does bread last in the freezer,8,food_last,8.0,en,how long bread freezer,8,4,50.0
how long does bread last,8,food_last,5.0,en,how long bread,5,3,40.0
how long can i expect chicken breast to be good for before expiration,8,food_last,13.0,en,how long expect chicken breast good before expiration,13,8,38.46153846153847
how long will eggs keep in the freezer,8,food_last,8.0,en,how long egg freezer,8,4,50.0
how long do i have before frozen chicken will go bad,8,food_last,11.0,en,how long before frozen chicken bad,11,6,45.45454545454545
how long are eggs good for,8,food_last,6.0,en,how long egg good,6,4,33.33333333333333
how long can i expect to keep steak in the freezer,8,food_last,11.0,en,how long expect steak freezer,11,5,54.54545454545454
what's the expiration for steak,8,food_last,5.0,en,expiration steak,5,2,60.0
is it ok to eat alfredo that's been in the fridge since last sunday,8,food_last,14.0,en,ok eat alfredo fridge sunday,14,5,64.28571428571429
my chinese food has sat in the fridge since friday but can i still eat it,8,food_last,16.0,en,chinese food sit fridge friday eat,16,6,62.5
how long is it safe to leave a burger in the refrigerator,8,food_last,12.0,en,how long safe leave burger refrigerator,12,6,50.0
what is the fridge life of spahghetti,8,food_last,7.0,en,fridge life spahghetti,7,3,57.14285714285714
check if it is ok to eat cheese that has been in the refrigerator since last tuesday,8,food_last,17.0,en,check ok eat cheese refrigerator tuesday,17,6,64.70588235294117
give me the length of time that i can leave milk in my fridge,8,food_last,14.0,en,length time leave milk fridge,14,5,64.28571428571429
how long is it safe to leave shrimp in the fridge,8,food_last,11.0,en,how long safe leave shrimp fridge,11,6,45.45454545454545
"i have had pasta in the fridge since monday, can is till consume it",8,food_last,14.0,en,pasta fridge monday till consume,14,5,64.28571428571429
am i good to eat this burger from the fridge that i got two mondays ago,8,food_last,16.0,en,good eat burger fridge monday ago,16,6,62.5
when will lettuce in the fridge go bad,8,food_last,8.0,en,when lettuce fridge bad,8,4,50.0
"i've got some chips from monday, will they still be ok to eat",8,food_last,13.0,en,chip monday ok eat,13,4,69.23076923076923
"i have potatoes in the cupboard from wednesday, are they fine",8,food_last,11.0,en,potato cupboard wednesday fine,11,4,63.63636363636363
"i have tomatoes from tuesday, do you think those are still good",8,food_last,12.0,en,tomato tuesday think good,12,4,66.66666666666666
"i've had these burger patties in the freezer since saturday, are they still fine to cook",8,food_last,16.0,en,burger patty freezer saturday fine cook,16,6,62.5
if i have garlic from sunday is it still fine to use,8,food_last,12.0,en,garlic sunday fine use,12,4,66.66666666666666
how long will the turkey take to cook,7,cook_time,8.0,en,how long turkey cook,8,4,50.0
so how long do you think the chicken will take,7,cook_time,10.0,en,how long think chicken,10,4,60.0
how long does pizza take to cook,7,cook_time,7.0,en,how long pizza cook,7,4,42.857142857142854
how long is the chicken gonna take,7,cook_time,7.0,en,how long chicken,7,3,57.14285714285714
how long will the chicken take to cook,7,cook_time,8.0,en,how long chicken cook,8,4,50.0
how long does it take to cook roast beef,7,cook_time,9.0,en,how long cook roast beef,9,5,44.44444444444444
how long does it take to boil an egg,7,cook_time,9.0,en,how long boil egg,9,4,55.55555555555556
how long does it take to bake a pork loin,7,cook_time,10.0,en,how long bake pork loin,10,5,50.0
how long does it take to make roast chicken,7,cook_time,9.0,en,how long make roast chicken,9,5,44.44444444444444
how long does it take to cook a pork chop,7,cook_time,10.0,en,how long cook pork chop,10,5,50.0
how much time do i need to make the chicken,7,cook_time,10.0,en,how time need make chicken,10,5,50.0
what's the prep and cooking time on pizza dough,7,cook_time,9.0,en,prep cooking time pizza dough,9,5,44.44444444444444
how long does it take to make lasagna,7,cook_time,8.0,en,how long make lasagna,8,4,50.0
how long will it take to make the wings,7,cook_time,9.0,en,how long make wing,9,4,55.55555555555556
what's the cooking time for the cake,7,cook_time,7.0,en,cook time cake,7,3,57.14285714285714
the steak must go under the broiler for how long,7,cook_time,10.0,en,steak broiler how long,10,4,60.0
how long do i put the casserole in,7,cook_time,8.0,en,how long casserole,8,3,62.5
if i cook the pizza at 400 degrees how long must it be in for,7,cook_time,15.0,en,cook pizza 400 degree how long,15,6,60.0
how long do you need to put the cuish in for,7,cook_time,11.0,en,how long need cuish,11,4,63.63636363636363
the sauce must simmer then go in the oven but for how long,7,cook_time,13.0,en,sauce simmer oven how long,13,5,61.53846153846154
i need the cooking length for a turkey,7,cook_time,8.0,en,need cooking length turkey,8,4,50.0
how many minutes do i cook baked ziti,7,cook_time,8.0,en,how minute cook baked ziti,8,5,37.5
how long does it take to cook ham,7,cook_time,8.0,en,how long cook ham,8,4,50.0
i need to know how long to do a pot roast in a slow cooker,7,cook_time,15.0,en,need know how long pot roast slow cooker,15,8,46.666666666666664
how long does a roast take,7,cook_time,6.0,en,how long roast,6,3,50.0
how long is it acceptable to carmelize onions,7,cook_time,8.0,en,how long acceptable carmelize onion,8,5,37.5
when should i take an apple pie out,7,cook_time,8.0,en,when apple pie,8,3,62.5
how long do you cook a salmon,7,cook_time,7.0,en,how long cook salmon,7,4,42.857142857142854
how much time does it take to boil an egg,7,cook_time,10.0,en,how time boil egg,10,4,60.0
what is the duration of time cookies should be in the oven,7,cook_time,12.0,en,duration time cooky oven,12,4,66.66666666666666
about how long should you cook lasagna,7,cook_time,7.0,en,how long cook lasagna,7,4,42.857142857142854
what is the prep time for a 10 lb turkey,7,cook_time,10.0,en,prep time 10 lb turkey,10,5,50.0
how many minutes to melt cheese,7,cook_time,6.0,en,how minute melt cheese,6,4,33.33333333333333
how long to reheat chinese food,7,cook_time,6.0,en,how long reheat chinese food,6,5,16.666666666666664
how long do you cook pasta for,7,cook_time,7.0,en,how long cook pasta,7,4,42.857142857142854
about how long should you cook a 10 pound turkey,7,cook_time,10.0,en,how long cook 10 pound turkey,10,6,40.0
how long does it take to prepare pot roast,7,cook_time,9.0,en,how long prepare pot roast,9,5,44.44444444444444
how long to microwave a pizza,7,cook_time,6.0,en,how long microwave pizza,6,4,33.33333333333333
how long should i cook a glazed ham,7,cook_time,8.0,en,how long cook glaze ham,8,5,37.5
how long should i cook a spiral ham,7,cook_time,8.0,en,how long cook spiral ham,8,5,37.5
how long do the brownies have to cook,7,cook_time,8.0,en,how long brownie cook,8,4,50.0
how long to i bake the brownies,7,cook_time,7.0,en,how long bake brownie,7,4,42.857142857142854
how long should i bake the brownies for,7,cook_time,8.0,en,how long bake brownie,8,4,50.0
for how long should i bake the brownies,7,cook_time,8.0,en,how long bake brownie,8,4,50.0
how long do the brownies need to be in the oven,7,cook_time,11.0,en,how long brownie need oven,11,5,54.54545454545454
how long does this dish need to be in the oven,7,cook_time,11.0,en,how long dish need oven,11,5,54.54545454545454
for how long does this need to cook,7,cook_time,8.0,en,how long need cook,8,4,50.0
what do i set the timer for if i'm making gyoza,7,cook_time,11.0,en,set timer make gyoza,11,4,63.63636363636363
what should i put on the timer to cook this dish,7,cook_time,11.0,en,timer cook dish,11,3,72.72727272727273
how long do i cook this dish of rice,7,cook_time,9.0,en,how long cook dish rice,9,5,44.44444444444444
how long should a cake bake,7,cook_time,6.0,en,how long cake bake,6,4,33.33333333333333
how long to microwave a frozen dinner,7,cook_time,7.0,en,how long microwave frozen dinner,7,5,28.57142857142857
what's the preparation time for spaghetti,7,cook_time,6.0,en,preparation time spaghetti,6,3,50.0
how long should this be in the oven,7,cook_time,8.0,en,how long oven,8,3,62.5
how long to cook a frozen pizza,7,cook_time,7.0,en,how long cook frozen pizza,7,5,28.57142857142857
"i want to bake brownies, how long do they bake for",7,cook_time,11.0,en,want bake brownie how long bake,11,6,45.45454545454545
how long do you bake a cake,7,cook_time,7.0,en,how long bake cake,7,4,42.857142857142854
how long does it take to make shrimp scampi,7,cook_time,9.0,en,how long make shrimp scampi,9,5,44.44444444444444
how long to cook steak for,7,cook_time,6.0,en,how long cook steak,6,4,33.33333333333333
how long do you cook a hamburger for,7,cook_time,8.0,en,how long cook hamburger,8,4,50.0
how long should i expect beef stroganoff to prepare,7,cook_time,9.0,en,how long expect beef stroganoff prepare,9,6,33.33333333333333
how long do i cook steak,7,cook_time,6.0,en,how long cook steak,6,4,33.33333333333333
what's the cooking time for chicken alfredo,7,cook_time,7.0,en,cook time chicken alfredo,7,4,42.857142857142854
how long does it take pork to cook,7,cook_time,8.0,en,how long pork cook,8,4,50.0
how much time do i need to prepare chicken,7,cook_time,9.0,en,how time need prepare chicken,9,5,44.44444444444444
noodles need to cook for how long,7,cook_time,7.0,en,noodle need cook how long,7,5,28.57142857142857
how long should i boil noodles for,7,cook_time,7.0,en,how long boil noodle,7,4,42.857142857142854
how long do noodles need to cook,7,cook_time,7.0,en,how long noodle need cook,7,5,28.57142857142857
what time should i cook noodles for,7,cook_time,7.0,en,time cook noodle,7,3,57.14285714285714
how long do i need to make lasagne,7,cook_time,8.0,en,how long need make lasagne,8,5,37.5
how long will it take me to make baked chicken,7,cook_time,10.0,en,how long make baked chicken,10,5,50.0
how long will it take to fix shepherd's pie,7,cook_time,9.0,en,how long fix shepherd pie,9,5,44.44444444444444
how long do cheeseburgers take to make,7,cook_time,7.0,en,how long cheeseburger make,7,4,42.857142857142854
how long should i cook the ham for,7,cook_time,8.0,en,how long cook ham,8,4,50.0
how long should i cook the eggs for,7,cook_time,8.0,en,how long cook egg,8,4,50.0
how long should i cook the asparagus for,7,cook_time,8.0,en,how long cook asparagus,8,4,50.0
how long should i cook the pasta for,7,cook_time,8.0,en,how long cook pasta,8,4,50.0
how long should i cook the steak for,7,cook_time,8.0,en,how long cook steak,8,4,50.0
what is the necessary amount of time required to prepare pot roast,7,cook_time,12.0,en,necessary time require prepare pot roast,12,6,50.0
how long am i supposed to cook pork loin,7,cook_time,9.0,en,how long suppose cook pork loin,9,6,33.33333333333333
