text,intent,intent_name,n_tokens,language,clean_text,n_orig,n_clean,reduction
Me gustaría saber cuánta grasa hay en una cucharada de aceite de oliva.,5,nutrition_info,14.0,es,gustar grasa cucharada aceite oliva,13,5,61.53846153846154
¿Puedes dar la información nutricional de la pasta?,5,nutrition_info,9.0,es,informacion nutricional pasta,8,3,62.5
dejame ver el contenido nutricional de los tacos de pollo,5,nutrition_info,10.0,es,dejame contenido nutricional taco pollo,10,5,50.0
necesito ver la información nutricional de la ensalada de pollo,5,nutrition_info,9.0,es,necesitar informacion nutricional ensalada pollo,10,5,50.0
Necesito saber todo sobre la nutrición del taco de res.,5,nutrition_info,12.0,es,necesitar nutricion taco res,10,4,60.0
quiero ver el contenido nutricional de la hamburguesa,5,nutrition_info,10.0,es,querer contenido nutricional hamburguesa,8,4,50.0
¿Qué tipo de nutrientes tiene un bistec?,5,nutrition_info,8.0,es,tipo nutrient bistec,7,3,57.14285714285714
¿Cuáles son los hechos sobre los nutrientes en la leche de arroz?,5,nutrition_info,8.0,es,ser nutrient leche arroz,12,4,66.66666666666666
¿Qué tipo de nutrición tienen los espaguetis?,5,nutrition_info,7.0,es,tipo nutricion espaguetis,7,3,57.14285714285714
cuantos tipos de nutrientes tiene un vaso de leche de arroz,5,nutrition_info,12.0,es,cuanto tipo nutrient vaso leche arroz,11,6,45.45454545454545
¿Puedes darme información sobre la información nutricional del apio?,5,nutrition_info,11.0,es,dar yo informacion informacion nutricional apio,9,6,33.33333333333333
¿Cuáles son los nutrientes que contiene un plato de espaguetis?,5,nutrition_info,10.0,es,ser nutrient contener plato espaguetis,10,5,50.0
¿Cuál es la información nutricional de una dona?,5,nutrition_info,7.0,es,ser informacion nutricional dona,8,4,50.0
¿Cuál es la información nutricional de una barra de ganola?,5,nutrition_info,8.0,es,ser informacion nutricional barra ganola,10,5,50.0
¿Puedes hablarme sobre los nutrientes de la gelatina?,5,nutrition_info,9.0,es,hablar yo nutrient gelatina,8,4,50.0
cuantos nutrientes hay en un plato de cereal,5,nutrition_info,10.0,es,cuanto nutrient plato cereal,8,4,50.0
Necesito saber qué tan saludable es el pastel de carne,5,nutrition_info,8.0,es,necesitar saludable ser pastel carne,10,5,50.0
¿Cuáles son los datos nutricionales del pollo a la parrilla?,5,nutrition_info,8.0,es,ser dato nutricional pollo parrilla,10,5,50.0
¿Cuáles son los datos nutricionales de los macarrones con queso?,5,nutrition_info,9.0,es,ser dato nutricional macarron queso,10,5,50.0
"Por favor, infórmeme sobre la información nutricional de las gambas al ajillo.",5,nutrition_info,11.0,es,favor informemir informacion nutricional gamba ajillo,12,6,50.0
¿Los espaguetis son saludables?,5,nutrition_info,3.0,es,espaguetis ser saludable,4,3,25.0
dime qué tan saludables son los macarrones con queso,5,nutrition_info,8.0,es,dimar saludable ser macarron queso,9,5,44.44444444444444
por favor dame la información nutricional del pollo a la parmesana,5,nutrition_info,9.0,es,favor da yo informacion nutricional pollo parmesana,11,7,36.36363636363637
¿Qué tan saludable es el pollo a la parrilla?,5,nutrition_info,5.0,es,saludable ser pollo parrilla,9,4,55.55555555555556
quiero saber la información nutricional de la pizza,5,nutrition_info,9.0,es,querer informacion nutricional piza,8,4,50.0
¿Tienes información nutricional de Cheerios?,5,nutrition_info,7.0,es,informacion nutricional cheerios,5,3,40.0
¿Dónde está la información nutricional de los Cheerios?,5,nutrition_info,7.0,es,estar informacion nutricional cheerios,8,4,50.0
que nutritivos son los cheerios,5,nutrition_info,4.0,es,nutritivo ser cheerio,5,3,40.0
¿Dónde en la caja de Cheerios está la información nutricional?,5,nutrition_info,9.0,es,caja cheerios estar informacion nutricional,10,5,50.0
¿La caja tiene información nutricional de Cheerios?,5,nutrition_info,10.0,es,caja informacion nutricional cheerios,7,4,42.857142857142854
¿Cuáles son los datos nutricionales de un mcdoble en mcdonalds?,5,nutrition_info,10.0,es,ser dato nutricional mcdoble mcdonalds,10,5,50.0
¿Qué tan saludables son los almuerzos?,5,nutrition_info,4.0,es,saludable ser almuerzo,6,3,50.0
¿Cuáles son los datos nutricionales de una palomita mediana en el cine?,5,nutrition_info,12.0,es,ser dato nutricional palomita mediano cine,12,6,50.0
¿Cuál es la información nutricional de un sándwich de pollo tipo metro?,5,nutrition_info,9.0,es,ser informacion nutricional sandwich pollo tipo metro,12,7,41.66666666666667
¿Cuáles son los datos nutricionales de una hamburguesa con queso de rodeo en Burger King?,5,nutrition_info,13.0,es,ser dato nutricional hamburguesa queso rodeo burger king,15,8,46.666666666666664
¿Qué tan saludable es el pho?,5,nutrition_info,4.0,es,saludable ser pho,6,3,50.0
¿Cuál es el valor nutricional de una pizza para el almuerzo?,5,nutrition_info,8.0,es,ser valor nutricional piza almuerzo,11,5,54.54545454545454
¿Qué tan saludables son los chips Stax?,5,nutrition_info,5.0,es,saludable ser chip stax,7,4,42.857142857142854
¿Cuál es la información nutricional de una taza de sopa de fideos?,5,nutrition_info,10.0,es,ser informacion nutricional taza sopa fideo,12,6,50.0
La gelatina debe permanecer en el refrigerador por cuánto tiempo.,8,food_last,9.0,es,gelatina deber permanecer refrigerador cuanto tiempo,10,6,40.0
cuando mi leche no estará buena,8,food_last,7.0,es,cuando leche no estar buen,6,5,16.666666666666664
¿cuándo se echarán a perder mis óvulos?,8,food_last,6.0,es,cuando echar perder ovulo,7,4,42.857142857142854
¿Por cuánto tiempo estarán buenos mis óvulos?,8,food_last,8.0,es,cuanto tiempo estar buen ovulo,7,5,28.57142857142857
¿En qué fecha vence mi jugo de manzana?,8,food_last,7.0,es,fecha vencer zumo manzana,8,4,50.0
¿Cuánto tiempo hasta que mi cereal se arruine?,8,food_last,7.0,es,cuanto tiempo cereal arruinar,8,4,50.0
¿Cuál es el tiempo máximo que puedo dejar un pimiento verde en el frigorífico?,8,food_last,13.0,es,ser tiempo maximo dejar pimiento verde frigorifico,14,7,50.0
¿Cuál es el plazo para que una hamburguesa almacenada en el congelador se eche a perder?,8,food_last,13.0,es,ser plazo hamburguesa almacenado congelador echir perder,16,7,56.25
¿Cuánto tiempo puedo mantener la carne de venado en el congelador antes de que no sea comestible?,8,food_last,13.0,es,cuanto tiempo mantener carne venado congelador antes no ser comestible,17,10,41.17647058823529
¿Se ha echado a perder la hamburguesa que sobró del sábado pasado?,8,food_last,9.0,es,echar perder hamburguesa sobrar sabado,12,5,58.333333333333336
¿Existe un límite de tiempo que se puede almacenar el pan en el congelador?,8,food_last,14.0,es,existir limite tiempo almacenar pan congelador,14,6,57.14285714285714
"He tenido huevos en el frigorífico desde el lunes, ¿todavía son seguros?",8,food_last,12.0,es,huevo frigorifico lunes ser seguro,12,5,58.333333333333336
¿Cuánto tiempo se puede mantener el pollo congelado antes de que se eche a perder?,8,food_last,13.0,es,cuanto tiempo mantener pollo congelado antes echir perder,15,8,46.666666666666664
¿El tofu que puse en el frigorífico el martes todavía es comestible hoy?,8,food_last,12.0,es,tofu frigorifico martes ser comestible,13,5,61.53846153846154
¿Cuánto tiempo se conserva el requesón en el frigorífico?,8,food_last,9.0,es,cuanto tiempo conservar requeson frigorifico,9,5,44.44444444444444
¿Cuál es la vida útil del guacamole en el refrigerador?,8,food_last,9.0,es,ser vida util guacamole refrigerador,10,5,50.0
¿Cuánto tiempo tarda en descongelarse la masa en el congelador?,8,food_last,13.0,es,cuanto tiempo tardar descongelar el masa congelador,10,7,30.0
¿Me enfermaré si como la ensalada de atún del viernes?,8,food_last,12.0,es,enfermacer como ensalada atun viernes,10,5,50.0
Puse un poco de guiso sobrante en el frigorífico y quiero saber cuánto durará.,8,food_last,16.0,es,guiso sobrante frigorifico querer cuanto durar,14,6,57.14285714285714
¿Cuánto tiempo puedo dejar la cazuela de atún en el frigorífico?,8,food_last,10.0,es,cuanto tiempo dejar cazuela atun frigorifico,11,6,45.45454545454545
¿Aún es seguro consumir el pastel que ella respaldó el jueves pasado?,8,food_last,12.0,es,ser seguro consumir pastel respaldar jueves,12,6,50.0
¿Puedo comer con seguridad pollo que tengo en mi refrigerador desde el lunes?,8,food_last,13.0,es,comer seguridad pollo refrigerador lunes,13,5,61.53846153846154
¿Puedo comer pollo si ha estado en el frigorífico desde el lunes?,8,food_last,12.0,es,comer pollo estar frigorifico lunes,12,5,58.333333333333336
¿Es seguro comer pollo que ha estado en el frigorífico desde el lunes?,8,food_last,14.0,es,ser seguro comer pollo estar frigorifico lunes,13,7,46.15384615384615
¿Se habrá echado a perder el pollo si lleva en el frigorífico desde el lunes?,8,food_last,14.0,es,echar perder pollo frigorifico lunes,15,5,66.66666666666666
¿Está bien comer pollo que puse en el frigorífico el lunes?,8,food_last,14.0,es,estar comer pollo frigorifico lunes,11,5,54.54545454545454
¿Qué tan pronto hasta que caduque la leche?,8,food_last,6.0,es,caducar leche,8,2,75.0
la leche caducará cuando,8,food_last,5.0,es,leche caducar cuando,4,3,25.0
dime cuando caducará la leche,8,food_last,7.0,es,dimar cuando caducar leche,5,4,20.0
cual es la fecha de caducidad de la leche,8,food_last,8.0,es,ser fecha caducidad leche,9,4,55.55555555555556
¿Me parece bien beber la leche que tengo en la nevera desde el martes?,8,food_last,17.0,es,parecer beber leche nevera martes,14,5,64.28571428571429
¿Cuál es la vida útil de la carne en el congelador?,8,food_last,10.0,es,ser vida util carne congelador,11,5,54.54545454545454
¿Puedo comer los huevos que tengo en el frigorífico desde el 21/02?,8,food_last,12.0,es,comer huevo frigorifico 21/02,12,4,66.66666666666666
cuanto tiempo puedo conservar un jamon en el congelador,8,food_last,10.0,es,cuanto tiempo conservar jamon congelador,9,5,44.44444444444444
¿Cuánto tiempo durará el pollo en el congelador?,8,food_last,8.0,es,cuanto tiempo durar pollo congelador,8,5,37.5
¿Puedo beber leche que tengo guardada en el frigorífico desde el miércoles?,8,food_last,11.0,es,beber leche guardado frigorifico miercoles,12,5,58.333333333333336
¿Cuánto tiempo durarán los filetes en el congelador?,8,food_last,8.0,es,cuanto tiempo durar filete congelador,8,5,37.5
¿Cuál es la vida útil de los huevos en el frigorífico?,8,food_last,9.0,es,ser vida util huevo frigorifico,11,5,54.54545454545454
¿Cuánto tiempo puedo guardar los huevos en el frigorífico?,8,food_last,9.0,es,cuanto tiempo guardar huevo frigorifico,9,5,44.44444444444444
¿Estará bien que me coma el pavo que me sobró del lunes y que está en mi refrigerador?,8,food_last,18.0,es,estar coma pavo sobrar lunes estar refrigerador,18,7,61.111111111111114
¿Cuánto tiempo puedo conservar el pescado en el congelador antes de que se arruine?,8,food_last,13.0,es,cuanto tiempo conservar pescado congelador antes arruinar,14,7,50.0
¿Cuánto tiempo estará buena mi leche en el refrigerador?,8,food_last,10.0,es,cuanto tiempo estar buen leche refrigerador,9,6,33.33333333333333
¿Cuánto tiempo duran los huevos en el frigorífico?,8,food_last,8.0,es,cuanto tiempo durar huevo frigorifico,8,5,37.5
"He tenido huevos en el refrigerador desde el lunes, ¿son seguros para comer?",8,food_last,12.0,es,huevo refrigerador lunes ser seguro comer,13,6,53.84615384615385
¿Todavía está bueno el pastel de carne? Lo tengo en el frigorífico desde el lunes pasado.,8,food_last,16.0,es,estar pastel carne frigorifico lunes,16,5,68.75
las manzanas caducan en cuanto tiempo,8,food_last,5.0,es,manzana caducan cuanto tiempo,6,4,33.33333333333333
Los pepinos cortados pueden permanecer en el frigorífico durante cuánto tiempo antes de estropearse.,8,food_last,12.0,es,pepino cortado permanecer frigorifico cuanto tiempo antes estropear el,14,9,35.714285714285715
Las costillas pueden permanecer en el refrigerador durante cuánto tiempo antes de que se den la vuelta.,8,food_last,12.0,es,costilla permanecer refrigerador cuanto tiempo antes vuelta,17,7,58.82352941176471
cuando caducan las costillas,8,food_last,4.0,es,cuando caducar costilla,4,3,25.0
los bananos caducan en cuanto tiempo,8,food_last,5.0,es,banano caducan cuanto tiempo,6,4,33.33333333333333
cuanto tardan los tomates en caducar,8,food_last,8.0,es,cuanto tardar tomate caducar,6,4,33.33333333333333
¿Cuánto tiempo puedo conservar los aguacates en el frigorífico antes de que se echen a perder?,8,food_last,13.0,es,cuanto tiempo conservar aguacat frigorifico antes echar perder,16,8,50.0
¿Cuánto tiempo puedo conservar los macarrones en el frigorífico antes de que se echen a perder?,8,food_last,12.0,es,cuanto tiempo conservar macarron frigorifico antes echar perder,16,8,50.0
las naranjas caducan en cuanto tiempo,8,food_last,5.0,es,naranja caducan cuanto tiempo,6,4,33.33333333333333
las zanahorias cortadas pueden permanecer en el refrigerador durante cuánto tiempo antes de estropearse,8,food_last,13.0,es,zanahoria cortado permanecer refrigerador cuanto tiempo antes estropear el,14,9,35.714285714285715
Quiero saber cuánto tiempo puedo conservar la pizza en el congelador antes de que se eche a perder.,8,food_last,17.0,es,querer cuanto tiempo conservar piza congelador antes echir perder,18,9,50.0
¿Cuánto tiempo puedo mantener la pizza en el congelador antes de que se eche a perder?,8,food_last,14.0,es,cuanto tiempo mantener piza congelador antes echir perder,16,8,50.0
"Parece ser que tengo pizza en el refrigerador desde el lunes, ¿es seguro comerla?",8,food_last,20.0,es,parecer ser piza refrigerador lunes ser seguro comer el,14,9,35.714285714285715
¿Cuánto tiempo puede estar la pizza en el frigorífico?,8,food_last,8.0,es,cuanto tiempo estar piza frigorifico,9,5,44.44444444444444
¿Cuánto tiempo puede durar la pizza en el frigorífico?,8,food_last,9.0,es,cuanto tiempo durar piza frigorifico,9,5,44.44444444444444
"Resulta que tengo pizza en el refrigerador desde el lunes, entonces, ¿es seguro comerla?",8,food_last,18.0,es,resultar piza refrigerador lunes ser seguro comer el,14,8,42.857142857142854
Tengo que saber cuánto tiempo puedo mantener la pizza en el congelador antes de que se eche a perder.,8,food_last,18.0,es,cuanto tiempo mantener piza congelador antes echir perder,19,8,57.89473684210527
"Parece que tengo pizza en el refrigerador desde el lunes, ¿es seguro comerla?",8,food_last,18.0,es,parecer piza refrigerador lunes ser seguro comer el,13,8,38.46153846153847
cuanto tiempo puedo dejar la pizza en el frigorífico,8,food_last,9.0,es,cuanto tiempo dejar piza frigorifico,9,5,44.44444444444444
dime cuanto tiempo puedo conservar la pizza en el congelador antes de que se eche a perder,8,food_last,16.0,es,dime cuanto tiempo conservar piza congelador antes echir perder,17,9,47.05882352941176
¿Cuánto tiempo puedo tener pizza en el refrigerador?,8,food_last,9.0,es,cuanto tiempo piza refrigerador,8,4,50.0
"He tenido pizza en el refrigerador desde el lunes, ¿es seguro comerla?",8,food_last,15.0,es,piza refrigerador lunes ser seguro comer el,12,7,41.66666666666667
"He tenido pizza en el refrigerador desde el lunes, ¿es seguro comerla?",8,food_last,16.0,es,piza refrigerador lunes ser seguro comer el,12,7,41.66666666666667
Necesito saber cuánto tiempo puedo conservar la pizza en el congelador antes de que se eche a perder.,8,food_last,18.0,es,necesitar cuanto tiempo conservar piza congelador antes echir perder,18,9,50.0
¿Cuánto tiempo puedo poner la pizza en el frigorífico?,8,food_last,9.0,es,cuanto tiempo piza frigorifico,9,4,55.55555555555556
¿Cuánto tiempo puedo dejar la carne de cerdo en el frigorífico?,8,food_last,13.0,es,cuanto tiempo dejar carne cerdo frigorifico,11,6,45.45454545454545
¿Cuánto tiempo hasta que la carne de cerdo se eche a perder en el refrigerador?,8,food_last,8.0,es,cuanto tiempo carne cerdo echir perder refrigerador,15,7,53.333333333333336
¿Cuánto tiempo se conserva la carne de cerdo en el frigorífico?,8,food_last,8.0,es,cuanto tiempo conservar carne cerdo frigorifico,11,6,45.45454545454545
¿Existe un límite de tiempo para dejar la carne de cerdo en el frigorífico?,8,food_last,11.0,es,existir limite tiempo dejar carne cerdo frigorifico,14,7,50.0
¿Cuándo se echa a perder la carne de cerdo en el frigorífico?,8,food_last,8.0,es,cuando echar perder carne cerdo frigorifico,12,6,50.0
cuando caduca la leche,8,food_last,4.0,es,cuando caducar leche,4,3,25.0
¿Cuánto tiempo tardan los filetes congelados en echarse a perder?,8,food_last,10.0,es,cuanto tiempo tardar filete congelado echar el perder,10,8,20.0
cuanto tiempo dura el pan en el congelador,8,food_last,8.0,es,cuanto tiempo durar pan congelador,8,5,37.5
cuanto dura el pan,8,food_last,5.0,es,cuanto durar pan,4,3,25.0
¿Cuánto tiempo puedo esperar que la pechuga de pollo esté buena antes de que caduque?,8,food_last,13.0,es,cuanto tiempo esperar pechuga pollo estar buen antes caduque,15,9,40.0
¿Cuánto tiempo se conservarán los huevos en el congelador?,8,food_last,8.0,es,cuanto tiempo conservar huevo congelador,9,5,44.44444444444444
¿Cuánto tiempo tengo antes de que el pollo congelado se eche a perder?,8,food_last,11.0,es,cuanto tiempo antes pollo congelado echir perder,13,7,46.15384615384615
¿Por cuánto tiempo son buenos los huevos?,8,food_last,6.0,es,cuanto tiempo ser buen huevo,7,5,28.57142857142857
¿Cuánto tiempo puedo esperar mantener el bistec en el congelador?,8,food_last,11.0,es,cuanto tiempo esperar mantener bistec congelador,10,6,40.0
cual es la caducidad del bistec,8,food_last,5.0,es,ser caducidad bistec,6,3,50.0
¿Está bien comer Alfredo que ha estado en el frigorífico desde el domingo pasado?,8,food_last,14.0,es,estar comer alfredo estar frigorifico domingo,14,6,57.14285714285714
"Mi comida china ha estado en el refrigerador desde el viernes, pero ¿todavía puedo comerla?",8,food_last,16.0,es,comida chino estar refrigerador viernes comer el,15,7,53.333333333333336
¿Cuánto tiempo es seguro dejar una hamburguesa en el frigorífico?,8,food_last,12.0,es,cuanto tiempo ser seguro dejar hamburguesa frigorifico,10,7,30.0
¿Cuál es la vida útil del refrigerador de los espaguetis?,8,food_last,7.0,es,ser vida util refrigerador espaguetis,10,5,50.0
Comprueba si está bien comer queso que ha estado en el frigorífico desde el pasado martes.,8,food_last,17.0,es,comprobar estar comer queso estar frigorifico martes,16,7,56.25
Dame el tiempo que puedo dejar la leche en mi nevera.,8,food_last,14.0,es,dame tiempo dejar leche nevera,11,5,54.54545454545454
¿Cuánto tiempo es seguro dejar los camarones en el frigorífico?,8,food_last,11.0,es,cuanto tiempo ser seguro dejar gamba frigorifico,10,7,30.0
"Tengo pasta en el frigorífico desde el lunes, la puedo hasta consumirla.",8,food_last,14.0,es,pasta frigorifico lunes consumir el,12,5,58.333333333333336
¿Puedo comerme esta hamburguesa del refrigerador que compré hace dos lunes?,8,food_last,16.0,es,comer yo hamburguesa refrigerador comprar hacer lunes,11,7,36.36363636363637
¿Cuándo se echa a perder la lechuga en el frigorífico?,8,food_last,8.0,es,cuando echar perder lechuga frigorifico,10,5,50.0
"Tengo algunas patatas fritas del lunes, ¿todavía estarán bien para comer?",8,food_last,13.0,es,patata frito lunes estar comer,11,5,54.54545454545454
"Tengo patatas en el armario desde el miércoles, ¿están bien?",8,food_last,11.0,es,patata armario miercoles estar,10,4,60.0
"Tengo tomates del martes, ¿crees que todavía están buenos?",8,food_last,12.0,es,tomate martes creser estar buen,9,5,44.44444444444444
"He tenido estas hamburguesas en el congelador desde el sábado, ¿todavía están bien para cocinar?",8,food_last,16.0,es,hamburguesa congelador sabado estar cocinar,15,5,66.66666666666666
"Si tengo ajo del domingo, ¿todavía está bien usarlo?",8,food_last,12.0,es,ajo domingo estar usar el,9,5,44.44444444444444
¿Cuánto tiempo tardará en cocinarse el pavo?,7,cook_time,8.0,es,cuanto tiempo tardar cocinar el pavo,7,6,14.285714285714285
¿Cuánto tiempo crees que tardará el pollo?,7,cook_time,10.0,es,cuanto tiempo creser tardar pollo,7,5,28.57142857142857
¿cuanto tiempo tarda en cocinarse la pizza?,7,cook_time,7.0,es,cuanto tiempo tardar cocinar el piza,7,6,14.285714285714285
¿Cuánto tiempo tardará el pollo?,7,cook_time,7.0,es,cuanto tiempo tardar pollo,5,4,20.0
¿Cuánto tiempo tardará en cocinarse el pollo?,7,cook_time,8.0,es,cuanto tiempo tardar cocinar el pollo,7,6,14.285714285714285
¿Cuánto tiempo se tarda en cocinar la carne asada?,7,cook_time,9.0,es,cuanto tiempo tardar cocinar carne asado,9,6,33.33333333333333
cuanto tiempo se tarda en hervir un huevo,7,cook_time,9.0,es,cuanto tiempo tardar hervir huevo,8,5,37.5
cuanto tiempo se tarda en hornear un lomo de cerdo,7,cook_time,10.0,es,cuanto tiempo tardar hornear lomo cerdo,10,6,40.0
cuanto tiempo se tarda en hacer pollo asado,7,cook_time,9.0,es,cuanto tiempo tardar hacer pollo asado,8,6,25.0
cuanto tiempo se tarda en cocinar una chuleta de cerdo,7,cook_time,10.0,es,cuanto tiempo tardar cocinar chuleta cerdo,10,6,40.0
cuanto tiempo necesito para hacer el pollo,7,cook_time,10.0,es,cuanto tiempo necesitar hacer pollo,7,5,28.57142857142857
